Word,Count
group,22
novices,2
acolytes,3
Citadel,19
Mollander,3
Alleras,17
Roone,2
Armen,4
discuss,1
rumors,3
dragons,26
outside,16
Quill,4
Tankard,3
Oldtown,21
Pate,21
thinking,9
Rosey,5
woman,25
loves,3
Her,18
mother,16
Emma,1
oldest,6
serving,10
wench,1
decreed,1
Rosey's,1
maidenhead,4
cost,2
golden,6
dragon,12
hope,4
saving,2
His,10
training,4
successful,1
Now,4
helps,6
tend,4
ravens,4
Archmaester,9
Walgrave,3
man's,1
wits,5
completely,3
gone,17
Gormon,1
sits,8
iron,4
mask,2
place,15
power,6
granting,1
black,20
link,4
ravenry,1
Ebrose,2
refused,11
silver,4
healing,1
knows,31
enough,14
life,18
traveling,4
Westeros,9
heal,1
smallfolk,7
waiting,10
calls,12
"""the",2
"alchemist""",1
introduced,1
mysterious,1
days,30
ago,16
promised,13
gold,17
coin,10
needs,16
win,7
exchange,7
stealing,2
something,6
told,27
thief,2
said,10
return,29
case,2
changed,3
mind,3
decided,3
friends,10
showed,7
celebrate,3
receiving,2
copper,2
joined,5
draw,4
suspicion,2
knight,15
died,42
Blackwater,6
convinced,7
stories,6
real,4
heard,8
four,16
different,9
sailors,3
ships,14
details,2
mention,4
beautiful,6
young,13
queen,23
shoots,1
apples,1
thrown,2
talk,14
year,13
yet,8
already,31
forged,1
links,2
chain,5
hand,19
arrived,8
five,5
thirteen,4
Twice,1
felt,4
ready,3
earn,1
Vaellyn,2
impressed,1
knowledge,5
heavens,1
ends,9
target,1
practice,7
heads,6
riddle,3
fits,2
Alleras's,1
nickname,1
"Sphinx""",1
Lazy,1
Leo,8
given,17
name,29
sphinx,3
made,28
parts,4
several,28
animals,2
Dornish,6
father,26
Summer,5
Isles1,1
scoffs,2
three-headed,1
heraldric,1
charge,6
Targaryens,3
dead,38
reminds,12
Daenerys,9
lives,4
Tyrell,12
joins,9
much,12
dismay,1
cruel,2
none,7
mocks,7
pig,1
boy,26
namesake,2
character,1
named,31
Spotted,1
good-hearted,1
empty-headed,1
always,28
manages,3
best,13
knights,24
lords,16
septons,6
turns,16
hostile,2
deflects,1
stating,3
indeed,2
refer,1
hatched,1
Every,5
sailor,2
near,13
Qarth,1
talking,7
Marwyn,12
believes,13
proof,3
Archmaesters,2
Perestan,1
Ryam,1
believe,8
unsound,1
consort,2
whores,5
hedge,8
wizards,2
speak,16
Ibbanese,2
Islanders,1
tongues,1
sacrifice,2
strange,4
gods,5
sailors',1
temples,1
docks,10
spent,8
eight,4
exploring,3
east,3
looking,21
lost,18
books,11
warlocks,2
shadowbinders,1
dubbed,1
"""Marwyn",1
"Mage""",1
upon,10
counters,5
glass,5
candle,8
burning,4
maester's,3
chambers,13
candles,4
green,2
came,25
thousand,19
Doom,2
Vlayria,1
serve,18
final,10
test,3
acolyte,5
raised,7
maester,31
spend,3
darkness,3
unless,2
light,9
dragonglass,2
lit,3
meant,11
teach,5
humility,1
limits,1
casting,2
brighter,2
wax,1
never,33
flickers,1
others,25
doubts,2
save,25
It,16
getting,9
late,10
everyone,10
departs,5
hopes,10
alchemist,5
appear,3
cruelly,1
ignores,1
japes,1
attacking,1
mean,6
death,27
trained,1
arms,7
Moryn,1
commander,4
City,1
Watch,21
dawn,6
breaks,4
leaves,27
walks,7
hails,2
