name,screentime,episode
Robb Stark,0,Episode - 15
Robb Stark,294,Episode - 16
Robb Stark,164,Episode - 17
Robb Stark,675,Episode - 18
Robb Stark,0,Episode - 19
Robb Stark,155,Episode - 20
Robb Stark,170,Episode - 21
Robb Stark,205,Episode - 22
Robb Stark,274,Episode - 23
Robb Stark,0,Episode - 24
Robb Stark,403,Episode - 25
Robb Stark,226,Episode - 26
Robb Stark,308,Episode - 27
Robb Stark,0,Episode - 28
Robb Stark,1029,Episode - 29
Robb Stark,21,Episode - 30
Robb Stark,0,Episode - 31
Robb Stark,0,Episode - 32
Robb Stark,0,Episode - 33
Robb Stark,0,Episode - 34
Robb Stark,0,Episode - 35
Robb Stark,0,Episode - 36
Robb Stark,0,Episode - 37
Robb Stark,0,Episode - 38
Robb Stark,0,Episode - 39
Robb Stark,0,Episode - 40
Robb Stark,0,Episode - 41
Robb Stark,0,Episode - 42
Robb Stark,0,Episode - 43
Robb Stark,0,Episode - 44
Robb Stark,0,Episode - 45
Robb Stark,0,Episode - 46
Robb Stark,0,Episode - 47
Robb Stark,0,Episode - 48
Robb Stark,0,Episode - 49
Robb Stark,0,Episode - 50
Robb Stark,0,Episode - 51
Robb Stark,0,Episode - 52
Robb Stark,0,Episode - 53
Robb Stark,0,Episode - 54
Robb Stark,0,Episode - 55
Robb Stark,10,Episode - 56
Robb Stark,0,Episode - 57
Robb Stark,0,Episode - 58
Robb Stark,0,Episode - 59
Robb Stark,0,Episode - 60
Robb Stark,0,Episode - 61
Robb Stark,0,Episode - 62
Robb Stark,0,Episode - 63
Robb Stark,0,Episode - 64
Robb Stark,0,Episode - 65
Robb Stark,0,Episode - 66
Robb Stark,0,Episode - 67
Robb Stark,0,Episode - 68
Robb Stark,0,Episode - 69
Robb Stark,0,Episode - 70
Robb Stark,0,Episode - 71
Robb Stark,0,Episode - 72
Robb Stark,0,Episode - 73
Catelyn Stark,1121,Episode - 1
Catelyn Stark,798,Episode - 2
Catelyn Stark,343,Episode - 3
Catelyn Stark,184,Episode - 4
Catelyn Stark,387,Episode - 5
Catelyn Stark,602,Episode - 6
Catelyn Stark,0,Episode - 7
Catelyn Stark,491,Episode - 8
Catelyn Stark,607,Episode - 9
Catelyn Stark,439,Episode - 10
Catelyn Stark,171,Episode - 11
Catelyn Stark,0,Episode - 12
Catelyn Stark,329,Episode - 13
Catelyn Stark,421,Episode - 14
Catelyn Stark,391,Episode - 15
Catelyn Stark,161,Episode - 16
Catelyn Stark,327,Episode - 17
Catelyn Stark,101,Episode - 18
Catelyn Stark,0,Episode - 19
Catelyn Stark,104,Episode - 20
Catelyn Stark,105,Episode - 21
Catelyn Stark,265,Episode - 22
Catelyn Stark,280,Episode - 23
Catelyn Stark,16,Episode - 24
Catelyn Stark,274,Episode - 25
Catelyn Stark,226,Episode - 26
Catelyn Stark,73,Episode - 27
Catelyn Stark,0,Episode - 28
Catelyn Stark,1074,Episode - 29
Catelyn Stark,0,Episode - 30
Catelyn Stark,0,Episode - 31
Catelyn Stark,0,Episode - 32
Catelyn Stark,0,Episode - 33
Catelyn Stark,0,Episode - 34
Catelyn Stark,0,Episode - 35
Catelyn Stark,0,Episode - 36
Catelyn Stark,0,Episode - 37
Catelyn Stark,0,Episode - 38
Catelyn Stark,0,Episode - 39
Catelyn Stark,0,Episode - 40
Catelyn Stark,0,Episode - 41
Catelyn Stark,0,Episode - 42
Catelyn Stark,0,Episode - 43
Catelyn Stark,0,Episode - 44
Catelyn Stark,0,Episode - 45
Catelyn Stark,0,Episode - 46
Catelyn Stark,0,Episode - 47
Catelyn Stark,0,Episode - 48
Catelyn Stark,0,Episode - 49
Catelyn Stark,0,Episode - 50
Catelyn Stark,0,Episode - 51
Catelyn Stark,0,Episode - 52
Catelyn Stark,0,Episode - 53
Catelyn Stark,0,Episode - 54
Catelyn Stark,0,Episode - 55
Catelyn Stark,7,Episode - 56
Catelyn Stark,0,Episode - 57
Catelyn Stark,0,Episode - 58
Catelyn Stark,0,Episode - 59
Catelyn Stark,0,Episode - 60
Catelyn Stark,0,Episode - 61
Catelyn Stark,0,Episode - 62
