Word,Count
Tyrion,207
Stannis,118
Theon,101
Jon,84
Cersei,84
Joffrey,73
Bran,70
Arya,65
Catelyn,64
Davos,63
Renly,53
Varys,51
Robb,46
Sansa,45
Qhorin,36
orders,35
gives,35
Commander,35
find,34
Tywin,33
several,33
days,32
city,32
sent,31
battle,31
Daenerys,31
rides,30
Bronn,30
ships,29
named,28
king,28
Yoren,28
sword,28
Petyr,28
left,27
Winterfell,27
realizes,27
others,27
returns,26
dead,26
decides,26
name,26
soon,26
Storm's,25
Stannis's,25
another,25
Sandor,25
many,25
people,25
Sam,25
Mormont,25
Rodrik,25
End,24
died,24
told,24
return,24
Watch,24
Walder,24
Luwin,24
away,24
Jojen,24
Cressen,23
never,23
tries,23
Brienne,23
House,22
King,22
Robert,22
keep,22
going,22
Melisandre,22
head,22
Hot,22
Pie,22
Lannister,22
sends,22
Gendry,22
made,21
dreams,21
ship,21
brought,21
finally,21
Balon,21
Lancel,21
arrives,21
Asha,21
room,21
army,20
small,20
refuses,20
able,20
makes,20
taken,20
Jaqen,20
Edmure,20
Roose,20
long,19
hand,19
right,19
north,19
even,19
King's,19
ride,19
kill,19
guard,19
walls,19
Osha,19
send,19
Jorah,19
hundred,18
death,18
chambers,18
plans,18
though,18
Jaime,18
Shae,18
Summer,18
later,18
last,17
took,17
already,17
help,17
father,17
Red,17
Tommen,17
Black,17
fire,17
led,17
Jacelyn,17
tell,17
At,17
fleet,17
reports,16
called,16
lords,16
always,16
agrees,16
There,16
Myrcella,16
Pycelle,16
Harrenhal,16
means,16
Rickon,16
Ghost,16
comet,15
It,15
boy,15
bring,15
wife,15
instead,15
wanted,15
done,15
council,15
escort,15
Landing,15
knows,15
On,15
godswood,15
gets,15
look,15
Cleos,15
old,15
That,15
Aeron,15
calls,15
reveals,15
Cortnay,15
ago,14
coming,14
woman,14
ten,14
thousand,14
great,14
knight,14
gave,14
seat,14
along,14
One,14
give,14
gold,14
points,14
Septon,14
tried,14
may,14
party,14
throne,14
Great,14
Pyke,14
