link,name,screentime,episode
1,Bran Stark,546,Episode - 70
1,Bran Stark,781,Episode - 71
1,Bran Stark,0,Episode - 72
1,Bran Stark,1029,Episode - 73
1,Robb Stark,859,Episode - 1
1,Robb Stark,346,Episode - 2
1,Robb Stark,182,Episode - 3
1,Robb Stark,103,Episode - 4
1,Robb Stark,0,Episode - 5
1,Robb Stark,273,Episode - 6
1,Robb Stark,0,Episode - 7
1,Robb Stark,651,Episode - 8
1,Robb Stark,363,Episode - 9
1,Robb Stark,256,Episode - 10
1,Robb Stark,539,Episode - 11
1,Robb Stark,0,Episode - 12
1,Robb Stark,0,Episode - 13
1,Robb Stark,215,Episode - 14
1,Robb Stark,0,Episode - 15
1,Robb Stark,294,Episode - 16
1,Robb Stark,164,Episode - 17
1,Robb Stark,675,Episode - 18
1,Robb Stark,0,Episode - 19
1,Robb Stark,155,Episode - 20
1,Robb Stark,170,Episode - 21
1,Robb Stark,205,Episode - 22
1,Robb Stark,274,Episode - 23
1,Robb Stark,0,Episode - 24
1,Robb Stark,403,Episode - 25
1,Robb Stark,226,Episode - 26
1,Robb Stark,308,Episode - 27
1,Robb Stark,0,Episode - 28
1,Robb Stark,1029,Episode - 29
1,Robb Stark,21,Episode - 30
1,Robb Stark,0,Episode - 31
1,Robb Stark,0,Episode - 32
1,Robb Stark,0,Episode - 33
1,Robb Stark,0,Episode - 34
1,Robb Stark,0,Episode - 35
1,Robb Stark,0,Episode - 36
1,Robb Stark,0,Episode - 37
1,Robb Stark,0,Episode - 38
1,Robb Stark,0,Episode - 39
1,Robb Stark,0,Episode - 40
1,Robb Stark,0,Episode - 41
1,Robb Stark,0,Episode - 42
1,Robb Stark,0,Episode - 43
1,Robb Stark,0,Episode - 44
1,Robb Stark,0,Episode - 45
1,Robb Stark,0,Episode - 46
1,Robb Stark,0,Episode - 47
1,Robb Stark,0,Episode - 48
1,Robb Stark,0,Episode - 49
1,Robb Stark,0,Episode - 50
1,Robb Stark,0,Episode - 51
1,Robb Stark,0,Episode - 52
1,Robb Stark,0,Episode - 53
1,Robb Stark,0,Episode - 54
1,Robb Stark,0,Episode - 55
1,Robb Stark,10,Episode - 56
1,Robb Stark,0,Episode - 57
1,Robb Stark,0,Episode - 58
1,Robb Stark,0,Episode - 59
1,Robb Stark,0,Episode - 60
1,Robb Stark,0,Episode - 61
1,Robb Stark,0,Episode - 62
1,Robb Stark,0,Episode - 63
1,Robb Stark,0,Episode - 64
1,Robb Stark,0,Episode - 65
1,Robb Stark,0,Episode - 66
1,Robb Stark,0,Episode - 67
1,Robb Stark,0,Episode - 68
1,Robb Stark,0,Episode - 69
1,Robb Stark,0,Episode - 70
1,Robb Stark,0,Episode - 71
1,Robb Stark,0,Episode - 72
1,Robb Stark,0,Episode - 73
1,Catelyn Stark,1121,Episode - 1
1,Catelyn Stark,798,Episode - 2
1,Catelyn Stark,343,Episode - 3
1,Catelyn Stark,184,Episode - 4
1,Catelyn Stark,387,Episode - 5
1,Catelyn Stark,602,Episode - 6
1,Catelyn Stark,0,Episode - 7
1,Catelyn Stark,491,Episode - 8
1,Catelyn Stark,607,Episode - 9
1,Catelyn Stark,439,Episode - 10
1,Catelyn Stark,171,Episode - 11
1,Catelyn Stark,0,Episode - 12
1,Catelyn Stark,329,Episode - 13
1,Catelyn Stark,421,Episode - 14
1,Catelyn Stark,391,Episode - 15
1,Catelyn Stark,161,Episode - 16
1,Catelyn Stark,327,Episode - 17
1,Catelyn Stark,101,Episode - 18
1,Catelyn Stark,0,Episode - 19
1,Catelyn Stark,104,Episode - 20
1,Catelyn Stark,105,Episode - 21
1,Catelyn Stark,265,Episode - 22
1,Catelyn Stark,280,Episode - 23
1,Catelyn Stark,16,Episode - 24
1,Catelyn Stark,274,Episode - 25
1,Catelyn Stark,226,Episode - 26
1,Catelyn Stark,73,Episode - 27
1,Catelyn Stark,0,Episode - 28
1,Catelyn Stark,1074,Episode - 29
1,Catelyn Stark,0,Episode - 30
1,Catelyn Stark,0,Episode - 31
1,Catelyn Stark,0,Episode - 32
1,Catelyn Stark,0,Episode - 33
1,Catelyn Stark,0,Episode - 34
1,Catelyn Stark,0,Episode - 35
1,Catelyn Stark,0,Episode - 36
1,Catelyn Stark,0,Episode - 37
1,Catelyn Stark,0,Episode - 38
1,Catelyn Stark,0,Episode - 39
1,Catelyn Stark,0,Episode - 40
1,Catelyn Stark,0,Episode - 41
1,Catelyn Stark,0,Episode - 42
1,Catelyn Stark,0,Episode - 43
1,Catelyn Stark,0,Episode - 44
1,Catelyn Stark,0,Episode - 45
1,Catelyn Stark,0,Episode - 46
1,Catelyn Stark,0,Episode - 47
1,Catelyn Stark,0,Episode - 48
1,Catelyn Stark,0,Episode - 49
1,Catelyn Stark,0,Episode - 50
1,Catelyn Stark,0,Episode - 51
1,Catelyn Stark,0,Episode - 52
1,Catelyn Stark,0,Episode - 53
1,Catelyn Stark,0,Episode - 54
1,Catelyn Stark,0,Episode - 55
1,Catelyn Stark,7,Episode - 56
1,Catelyn Stark,0,Episode - 57
1,Catelyn Stark,0,Episode - 58
1,Catelyn Stark,0,Episode - 59
1,Catelyn Stark,0,Episode - 60
1,Catelyn Stark,0,Episode - 61
1,Catelyn Stark,0,Episode - 62
1,Catelyn Stark,0,Episode - 63
1,Catelyn Stark,0,Episode - 64
1,Catelyn Stark,0,Episode - 65
1,Catelyn Stark,0,Episode - 66
1,Catelyn Stark,0,Episode - 67
1,Catelyn Stark,0,Episode - 68
1,Catelyn Stark,0,Episode - 69
1,Catelyn Stark,0,Episode - 70
1,Catelyn Stark,0,Episode - 71
1,Catelyn Stark,0,Episode - 72
1,Catelyn Stark,0,Episode - 73
1,Cersei Lannister,786,Episode - 1
1,Cersei Lannister,528,Episode - 2
1,Cersei Lannister,228,Episode - 3
1,Cersei Lannister,349,Episode - 4
1,Cersei Lannister,379,Episode - 5
1,Cersei Lannister,269,Episode - 6
1,Cersei Lannister,685,Episode - 7
1,Cersei Lannister,501,Episode - 8
1,Cersei Lannister,330,Episode - 9
1,Cersei Lannister,197,Episode - 10
1,Cersei Lannister,546,Episode - 11
1,Cersei Lannister,277,Episode - 12
1,Cersei Lannister,170,Episode - 13
1,Cersei Lannister,0,Episode - 14
1,Cersei Lannister,98,Episode - 15
1,Cersei Lannister,190,Episode - 16
1,Cersei Lannister,368,Episode - 17
1,Cersei Lannister,324,Episode - 18
1,Cersei Lannister,775,Episode - 19
1,Cersei Lannister,273,Episode - 20
1,Cersei Lannister,413,Episode - 21
1,Cersei Lannister,131,Episode - 22
1,Cersei Lannister,244,Episode - 23
1,Cersei Lannister,343,Episode - 24
1,Cersei Lannister,270,Episode - 25
1,Cersei Lannister,172,Episode - 26
1,Cersei Lannister,0,Episode - 27
1,Cersei Lannister,429,Episode - 28
1,Cersei Lannister,0,Episode - 29
1,Cersei Lannister,427,Episode - 30
1,Cersei Lannister,195,Episode - 31
1,Cersei Lannister,1258,Episode - 32
1,Cersei Lannister,490,Episode - 33
1,Cersei Lannister,154,Episode - 34
1,Cersei Lannister,698,Episode - 35
1,Cersei Lannister,1130,Episode - 36
1,Cersei Lannister,60,Episode - 37
1,Cersei Lannister,300,Episode - 38
1,Cersei Lannister,0,Episode - 39
1,Cersei Lannister,409,Episode - 40
1,Cersei Lannister,377,Episode - 41
1,Cersei Lannister,358,Episode - 42
1,Cersei Lannister,548,Episode - 43
1,Cersei Lannister,260,Episode - 44
1,Cersei Lannister,0,Episode - 45
1,Cersei Lannister,646,Episode - 46
1,Cersei Lannister,650,Episode - 47
1,Cersei Lannister,291,Episode - 48
1,Cersei Lannister,0,Episode - 49
1,Cersei Lannister,797,Episode - 50
1,Cersei Lannister,253,Episode - 51
1,Cersei Lannister,211,Episode - 52
1,Cersei Lannister,230,Episode - 53
1,Cersei Lannister,352,Episode - 54
1,Cersei Lannister,0,Episode - 55
1,Cersei Lannister,119,Episode - 56
1,Cersei Lannister,130,Episode - 57
1,Cersei Lannister,371,Episode - 58
1,Cersei Lannister,0,Episode - 59
1,Cersei Lannister,556,Episode - 60
1,Cersei Lannister,539,Episode - 61
1,Cersei Lannister,205,Episode - 62
1,Cersei Lannister,688,Episode - 63
1,Cersei Lannister,90,Episode - 64
1,Cersei Lannister,324,Episode - 65
1,Cersei Lannister,0,Episode - 66
1,Cersei Lannister,1580,Episode - 67
1,Cersei Lannister,294,Episode - 68
1,Cersei Lannister,0,Episode - 69
1,Cersei Lannister,0,Episode - 70
1,Cersei Lannister,541,Episode - 71
1,Cersei Lannister,586,Episode - 72
1,Cersei Lannister,130,Episode - 73
1,Renly Baratheon,0,Episode - 1
1,Renly Baratheon,0,Episode - 2
1,Renly Baratheon,174,Episode - 3
1,Renly Baratheon,393,Episode - 4
1,Renly Baratheon,904,Episode - 5
1,Renly Baratheon,113,Episode - 6
1,Renly Baratheon,533,Episode - 7
1,Renly Baratheon,0,Episode - 8
1,Renly Baratheon,0,Episode - 9
1,Renly Baratheon,0,Episode - 10
1,Renly Baratheon,0,Episode - 11
1,Renly Baratheon,0,Episode - 12
1,Renly Baratheon,621,Episode - 13
1,Renly Baratheon,301,Episode - 14
1,Renly Baratheon,352,Episode - 15
1,Renly Baratheon,0,Episode - 16
1,Renly Baratheon,0,Episode - 17
1,Renly Baratheon,0,Episode - 18
1,Renly Baratheon,0,Episode - 19
1,Renly Baratheon,0,Episode - 20
1,Renly Baratheon,0,Episode - 21
1,Renly Baratheon,0,Episode - 22
1,Renly Baratheon,0,Episode - 23
1,Renly Baratheon,0,Episode - 24
1,Renly Baratheon,0,Episode - 25
1,Renly Baratheon,0,Episode - 26
1,Renly Baratheon,0,Episode - 27
1,Renly Baratheon,0,Episode - 28
1,Renly Baratheon,0,Episode - 29
1,Renly Baratheon,0,Episode - 30
1,Renly Baratheon,0,Episode - 31
1,Renly Baratheon,0,Episode - 32
1,Renly Baratheon,0,Episode - 33
1,Renly Baratheon,0,Episode - 34
1,Renly Baratheon,0,Episode - 35
1,Renly Baratheon,0,Episode - 36
1,Renly Baratheon,0,Episode - 37
1,Renly Baratheon,0,Episode - 38
1,Renly Baratheon,0,Episode - 39
1,Renly Baratheon,0,Episode - 40
1,Renly Baratheon,0,Episode - 41
1,Renly Baratheon,0,Episode - 42
1,Renly Baratheon,0,Episode - 43
1,Renly Baratheon,0,Episode - 44
1,Renly Baratheon,0,Episode - 45
1,Renly Baratheon,0,Episode - 46
1,Renly Baratheon,0,Episode - 47
1,Renly Baratheon,0,Episode - 48
1,Renly Baratheon,0,Episode - 49
