Word,Count
Gared,8
attempts,1
convince,7
commander,6
Waymar,23
Royce,9
turn,8
wildlings,4
dead,31
according,3
Will,16
mocks,9
unease,1
notices,3
afraid,10
despite,4
Night's,20
Watch,46
forty,5
uneasy,5
spent,4
four,20
least,1
hundred,14
rangings,2
haunted,2
forest,8
terrified,2
traveling,1
north,11
nine,7
days,24
pursuing,1
wildling,5
raiders,3
every,11
colder,1
worse,2
refuses,18
youngest,2
ancient,2
house,9
many,17
heirs,1
young,4
half,9
year,14
insists,3
done,13
Mormont,28
ordered,3
already,8
week,1
ride,25
ahead,3
snows,1
repeat,1
saw,6
poacher,1
joining,6
Mallister,7
freeriders,5
caught,5
given,8
choice,7
losing,2
hand,16
going,26
Wall,17
best,5
moving,2
woods,3
unseen,1
reports,16
camp,14
miles,1
away,32
spied,1
eight,9
women,8
None,2
moved,3
inch,1
entire,5
surveyed,1
including,31
spotter,1
trees,5
cold,6
seen,8
freeze,2
last,31
winter,7
boy1,1
points,21
enough,7
orders,34
dismounting,1
Will's,2
suggestion,1
rest,9
becomes,4
watch,13
horses,5
continue,5
foot,11
fire,12
draw,4
enemies,4
claims,6
keep,13
bears,1
direwolves,7
"""other",1
"things""2",1
firm,2
reach,7
campsite,1
shocked,5
bodies,3
gone,19
Castle,8
Black,9
ranging,6
failure,1
climb,4
tree,6
look,15
sign,3
climbs,3
hears,10
issue,2
uncertain,1
challenge,3
Others,11
sound,4
glide,1
towards,2
sees,39
briefly,5
assumes,1
mirage,1
calls,19
realizes,22
freezing,1
An,2
Other,6
shadows,3
watches,7
five,10
emerge,1
silently,2
surround,2
knight,18
newcomers,1
fight,18
After,27
series,1
blows,1
wounds,9
side,14
Finding,1
ounce,1
strength,8
shouts,2
"""For",1
"Robert!""",1
lunges,3
forward,7
sword,27
meets,6
Other's,1
blade,4
shatters,1
falls,7
knees,1
screaming,1
holding,2
face,14
move,5
butcher,2
stays,5
long,12
depart,1
gathering,5
courage,3
decides,26
twisted,3
broken,3
proof,5
happened,8
hopes,5
know,15
things,8
Aemon,21
stands,7
standing,3
good,8
eye,3
sporting,1
burning,4
blue,3
pupil3,1
grabs,4
throat,6
chokes,1
death,26
His,9
grip,2
icy,1
It,19
ninth,1
summer1,1
Eddard,288
Stark,28
twenty,13
men2,1
riding,12
holdfast,5
dispense,2
king's,18
justice,7
Eddard's,29
Bran,90
excited,4
never,25
allowed,7
along,14
captured,6
hills,2
outside,4
small,22
Robb,101
believes,7
sworn,2
Mance,5
Rayder,4
King-Beyond-the-Wall,1
makes,13
tales,1
Old,5
Nan,9
told,19
slavers,1
slayers,1
thieves,1
consorted,1
giants,3
ghouls,1
lay,4
sire,1
half-human,1
children,27
arrive,9
discover,9
accused,2
old,19
dressed,3
black,12
lost,11
ears,1
finger,1
frostbite3,1
sits,7
Jon,171
banner,1
Starks,2
Winterfell,45
grey,1
direwolf,9
racing,1
white,7
field,6
flapping,1
heads,6
questions,5
Theon,26
Greyjoy,6
brings,16
Ice,5
forged,4
Valyrian,5
steel,4
handing,1
gloves,1
captain,6
guard,21
Jory,21
Cassel,5
executes,1
name,22
Robert,145
Baratheon,12
First,9
Name,1
King,32
Andals,3
Rhoynar,1
Men,10
Seven,15
Kingdoms,15
Protector,3
Realm,2
word,2
Warden,5
North,11
head,26
lands,4
laughs,1
kicks,1
Bran's,14
bastard,14
brother,16
ass,1
compliments,1
poise,1
execution,1
On,11
comments,5
deserter,6
died,28
bravely,2
notes,2
paralyzed,1
fear4,1
race,1
holds,7
explains,21
penalty,1
desertion,1
execute,3
family,7
blood,5
believe,6
passes,7
sentence,1
carry,3
At,11
point,12
reappears,1
beckons,1
found,14
party,23
discovered,7
live,8
cubs,1
male,2
female5,1
south,33
Hullen,6
master,4
horse,25
realm,7
Many,5
disquieted,1
revealed,1
antler,1
stag,3
lodged,1
apparent,1
cause,5
death6,1
prepares,12
